sector,name,capitalization,earnings,taxes,Tax/earnings
Police,Specialized Patrol & Events Planning,520644,12986165,11436807.76,0.880691702
Watershed Protection,Storm Water Management,365258,4698061,4141044.62,0.881436963
Austin Energy,Power Generation,593292,13768668,12176788.32,0.884383901
Human Resources,Optional Coverage paid by Retiree,6054,2303994,2038457.92,0.884749665
Office of the Medical Director,Other Requirements,12108,41022,36493,0.889595827
Austin Energy,Distribution Services,1467086,37500954,33450129.93,0.891980773
Communications & Public Information,Media Relations,84756,353170,315774.16,0.89411377
Management Services,Office of Homeland Security & Emergency Management,195746,1634875,1464308.85,0.895670219
Office of the City Auditor,Departmental Support Services,72648,789488,708126.84,0.896944399
Municipal Court,Community Service Restitution,104936,281821,253154.29,0.898280433
Austin Transportation,Departmental Support Services,258304,3462607,3124941.37,0.902482254
Labor Relations Office,Other Requirements,12108,26663,24331,0.912537974
Management Services,Sustainability Office,191710,756855,697550.85,0.921643974
Economic Development,Departmental Support Services,171530,1275475,1179862.87,0.925038021
Communications & Public Information,Departmental Support Services,88792,631219,588331.03,0.932055325
Enterprise Debt Service,Other Requirements,54486,460547918,444605771,0.96538439
Human Resources,Retiree Without Medicare CDHP,14126,298151,291844.56,0.978848168
Austin Water,Miscellaneous,28252,34598510,34177024.58,0.987817816
Fire,Engineering and Inspection Services,205836,4870711,4817468.11,0.989068764
Aviation,"Planning, Design and Construction",155386,2011630,2007653.63,0.998023309
Communications & Public Information,Transfers,4036,113272,113272,1
Intergovernmental Relations,Transfers,2018,34890,34890,1
Office of the City Auditor,Transfers,4036,149734,149734,1
Planning & Zoning,Group Placeholder,2018,2000000,2000000,1
Small and Minority Business Resources,Transfers,4036,165026,165026,1
Telecommunications & Regulatory Affairs,Transfers,4036,64280,64280,1
Fleet Services,Materials Control,437906,11231952,11835469.06,1.053732162
Human Resources,Community Services,236106,1046426,1197316.96,1.144196494
Austin Water,Wildland Conservation,357186,1763856,2237140.83,1.268323962
Watershed Protection,Surface/Ground Water and Endangered Salamander Protection,240142,744796,969888.03,1.302219708
Public Works,Architectural Services,98882,516683,754977.69,1.461200949
Financial Services,Procurement,391492,4910615,8574763.32,1.746168926
Aviation,Other Requirements,14126,148769,8305063.58,55.82522958
Austin Conv & Visitors Bureau,Transfers,2018,0,0,#DIV/0!
Austin Energy,Distribution,4036,0,0,#DIV/0!
Austin Public Health,Public Health Preparedness,20180,0,0,#DIV/0!
Austin Transportation,Corridor Program Management,4036,0,0,#DIV/0!
Communications & Technology Management,CTM IT Replacement,34306,0,0,#DIV/0!
Development Services,Technology Surcharge,2018,0,0,#DIV/0!
Economic Development,Heritage Tourism,2018,0,0,#DIV/0!
Emergency Medical Services,Miscellaneous,4036,0,0,#DIV/0!
Financial Services,Cash and Investment Management,159422,0,217503.25,#DIV/0!
Financial Services,Debt Management,72648,0,42041.53,#DIV/0!
Financial Services,Capital Planning,80720,0,0,#DIV/0!
Fire,Miscellaneous,2018,0,-2882.23,#DIV/0!
Labor Relations Office,Transfers,2018,0,0,#DIV/0!
Management Services,Miscellaneous,20180,0,0,#DIV/0!
Municipal Court,Miscellaneous,6054,0,-0.1,#DIV/0!
Neighborhood Housing & Community Development,Small Business Assistance,2018,0,0,#DIV/0!
Office of the Medical Director,Transfers,2018,0,0,#DIV/0!
Parks & Recreation,Tanglewood Neighborhood Park - Pavilion,36324,0,0,#DIV/0!
Planning & Zoning,Miscellaneous,2018,0,0,#DIV/0!
Planning & Zoning,PLAN - ADMINSTRATION,6054,0,0,#DIV/0!
Planning & Zoning,PLAN - DATA DEVELOPMENT & MAINT,2018,0,0,#DIV/0!
Planning & Zoning,PLAN - LONG RANGE PLAN (MTP),2018,0,0,#DIV/0!
Planning & Zoning,PLAN - SHORT RANGE PLANNING,2018,0,0,#DIV/0!
Planning & Zoning,RTCC,2018,0,0,#DIV/0!
