cx	cy	capitalization	earnings	taxes	x	y	sector	name	alias	symbol
304	10.3	535.72	15004	3995	300.5	-1.9	Consumer products	Nike Inc.		NKE
134	-31.8	93.92	2904	366	150.2	8.3	Utilities	NiSource Inc.		NI
197.1	73.7	95.65	7473	1276	195.9	7.4	Energy	Noble Corp.		NE
248.4	88.9	206.49	5871	1268	248.5	0	Energy	"Noble Energy, Inc."		NBL
463.2	11.7	108.25	5733	2286	454.1	-9.6	Retailers	Nordstrom Inc.		JWN
254.8	-25.9	237	14652	3108	245.8	14.1	Industrials	Norfolk Southern Corp.		NSC
176	-55.6	137.87	3227	490	174.5	0	Utilities	Northeast Utilities		NU
310.4	52.5	130.53	6458	1778	312.4	-0.4	Financials	Northern Trust Corporation		NTRS
538.4	-0.7	168.88	12570	5854	535.7	0	Industrials	Northrop Grumman Corporation		NOC
46.1	-9.1	86.49	4727	178	46.6	3.6	Utilities	"NRG Energy, Inc."		NRG
369.7	1.8	139.63	7609	2432	367.5	0	Materials	Nucor Corporation		NUE
47.2	-1.9	76.83	2205	98	51.9	0	Information technology	NVIDIA Corporation		NVDA
361.5	27.8	91.21	2333	734	352.9	4.2	Financials	"NYSE Euronext, Inc."		NYX
323.9	68.1	115.69	3554	980	317.1	1.5	Retailers	O'Reilly Automotive Inc.		ORLY
396.8	61	653.54	52331	17100	375.6	0.5	Energy	Occidental Petroleum Corporation		OXY
255.3	32.5	155.43	9180	1965	247.9	16.7	Consumer products	Omnicom Group Inc.		OMC
23.6	-1.3	100.22	4846	120	27.2	9.7	Utilities	ONEOK Inc.		OKE
280.9	-75.4	1524.37	54270	13204	279.8	-3.5	Information technology	Oracle Corporation		ORCL
645.3	0.2	42.07	1515	850	645.4	0	Materials	"Owens-Illinois, Inc."		OI
271.8	-60.2	170.49	7199	1747	280.6	-16.4	Industrials	PACCAR Inc.		PCAR
397.8	-47.1	74.39	1865	640	395	2.9	Industrials	Pall Corporation		PLL
265.2	-29.9	134.09	6922	1671	274.7	11.8	Industrials	Parker-Hannifin Corporation		PH
403.8	-46.6	39.61	2031	692	394.3	-9.4	Health care	"Patterson Companies, Inc."		PDCO
380	-67.7	127.58	4792	1571	376.7	0	Information technology	"Paychex, Inc."		PAYX
225.9	48.9	54.84	4486	883	226	-12.3	Energy	Peabody Energy Corp.		BTU
456.6	-43.8	108.11	985	391	456.6	0	Industrials	Pentair Ltd.		PNR
376.5	-4.5	43.63	1344	432	369.6	-10.1	Financials	People's United Financial Inc.		PBCT
31.8	-7.5	54.45	1564	50	33.7	7.3	Utilities	"Pepco Holdings, Inc."		POM
239.2	25.4	1241.4	48137	10259	244.1	0.7	Consumer products	"Pepsico, Inc."		PEP
428.1	-10.3	38.07	634	242	439.7	0	Health care	PerkinElmer Inc.		PKI
213.8	-11.9	111.56	1743	360	233.5	-12.7	Pharma	Perrigo Co.		PRGO
415.4	11.4	65.12	2161	765	408.3	1.3	Retailers	"PetSmart, Inc."		PETM
499.1	-14.6	2095.33	63501	27312	494.7	0	Pharma	Pfizer Inc.		PFE
15.2	-17.3	192.37	8817	129	15.7	-5.8	Utilities	PG&E Corp.		PCG
321.7	-1.4	1550.89	63907	17264	315.2	-17.1	Consumer products	"Philip Morris International, Inc."		PM
194.5	54.2	394.55	19535	3331	195.5	-3.4	Energy	Phillips 66		PSX
63.4	-17.9	64.48	2922	166	64.5	2.5	Utilities	Pinnacle West Capital Corporation		PNW
80.3	24.8	160.66	2129	148	80.2	0	Energy	Pioneer Natural Resources Co.		PXD
314.3	-62.8	29.66	3714	1023	313.6	-12.4	Industrials	Pitney Bowes Inc.		PBI
340.8	35.7	187.77	7134	2026	325.6	0.3	Materials	PPG Industries Inc.		PPG
124.4	-17.1	184.62	8614	1002	131.1	6.7	Utilities	PPL Corporation		PPL
227.2	39.2	329.88	11521	2391	238.2	0.9	Materials	Praxair Inc.		PX
306.4	-58	267.94	8676	2263	299.8	0	Industrials	Precision Castparts Corp.		PCP
216.3	51	347.37	4716	897	218.8	0	Retailers	priceline.com Incorporated		PCLN
180.8	59.3	98.73	4918	818	187.7	-2.8	Insurance	Principal Financial Group Inc.		PFG
304.1	33.6	2152.27	86212	22378	295.1	20.8	Consumer products	Procter & Gamble Co.		PG
406	51.1	154.6	7398	2504	389.2	0	Insurance	Progressive Corp.		PGR
735	16.7	185.18	-1632	443	746.6	15.5	Financials	"Prologis, Inc."		PLD
233.7	80	260.71	16352	3255	228.8	0	Insurance	"Prudential Financial, Inc."		PRU
335.7	-75.5	174.76	13842	3966	329.5	0	Utilities	Public Service Enterprise Group Inc.		PEG
740.7	-9.9	76.44	-7516	-1641	740.3	3.2	Consumer products	"PulteGroup, Inc."		PHM
348.7	13	87.59	1340	405	344.2	7.6	Consumer products	PVH Corp.		PVH
21.5	13.3	55.34	2876	49	19.3	0	Energy	"QEP Resources, Inc."		QEP
213.5	-61.6	1131.56	26597	5180	223.4	-10.1	Information technology	QUALCOMM Incorporated	Qualcomm Incorporated	QCOM
343.6	-27.8	59.67	1543	448	335.8	-3.6	Industrials	"Quanta Services, Inc."		PWR
386.9	-33.4	90.05	6310	2050	373.2	0	Health care	Quest Diagnostics Inc.		DGX
344.4	26.6	153.85	4420	1265	335.5	7	Consumer products	Ralph Lauren Corporation		RL
-0.2	16.1	128.53	1123	4	4.7	2.7	Energy	Range Resources Corporation		RRC
206.4	-26.7	190.1	15576	2992	218.3	-7.7	Industrials	Raytheon Co.		RTN
61.3	-11.1	92.66	819	42	59.2	0	Information technology	"Red Hat, Inc."		RHT
734.4	7.5	113.64	-4184	483	741.8	7.7	Financials	Regions Financial Corporation		RF
431.3	-29.6	117.81	4100	1500	425.8	-1.8	Industrials	"Republic Services, Inc."		RSG
415.5	-11.4	247.06	12067	4262	406.5	-3.4	Consumer products	Reynolds American Inc.		RAI
446.5	-46.4	49.93	1686	631	432.1	-5.2	Industrials	Robert Half International Inc.		RHI
347.4	-52	121.76	4249	1195	326.6	-7.7	Industrials	Rockwell Automation Inc.		ROK
231.9	-19.7	86.16	5162	1066	238.3	8.7	Industrials	Rockwell Collins Inc.		COL
344.3	-59.8	121.94	2886	798	320.2	-13.2	Industrials	Roper Industries Inc.		ROP
401.2	24.7	130.52	3987	1381	402.6	6.6	Retailers	Ross Stores Inc.		ROST
399.1	49.7	41.53	2514	834	384.9	-6.4	Energy	Rowan Companies plc		RDC
68.2	-10.3	30.71	1724	107	69.2	0	Industrials	"Ryder System, Inc."		R
500.9	23.1	60.72	4547	1971	498.4	0	Retailers	Safeway Inc.		SWY
506.9	-31	47.36	3725	1604	495.5	4.7	Information technology	"SAIC, Inc."		SAI
185.4	-15.6	244.36	358	61	197	18.9	Information technology	"salesforce.com, inc"		CRM
590.9	-9.3	134.44	2465	1272	593.4	0	Information technology	SanDisk Corp.		SNDK
171.8	-62.3	72.46	3202	450	161.7	0	Utilities	SCANA Corp.		SCG
225.9	65.3	997.73	35973	7093	226.9	1.5	Energy	Schlumberger Limited		SLB
389.6	-26.4	99.25	3915	1275	379.2	-14.4	Consumer products	"Scripps Networks Interactive, Inc."		SNI
25.3	7	129.12	4095	94	25.5	0	Information technology	Seagate Technology Public Limited Company		STX
765	0.7	43.54	-322	710	749.9	0	Materials	Sealed Air Corporation		SEE
138	-9	200.01	8228	1011	141.3	7.4	Utilities	Sempra Energy		SRE
302.2	52.5	91.29	3257	860	303.5	0	Materials	Sigma-Aldrich Corporation		SIAL
674.4	-1.5	90.26	3732	2746	690	5.4	Financials	SLM Corporation		SLM
309.4	-65.2	48.19	2015	545	308.4	-10.9	Industrials	Snap-on Inc.		SNA
137.4	-21.4	412.67	17872	2157	136.8	-4	Utilities	Southern Company		SO
208.4	-17.9	93.37	3253	557	200.4	-6.8	Industrials	Southwest Airlines Co.		LUV
56	20.2	130.97	1764	85	55.1	-0.2	Energy	Southwestern Energy Co.		SWN
160.1	63.6	202.89	9066	1333	168.7	-1.8	Energy	Spectra Energy Corp.		SE
737.9	-19.4	189.68	-47436	-24	744.3	0	Telecom	Sprint Nextel Corp.		S
258.6	-5.6	118.73	5580	1226	250.9	-3.1	Health care	St. Jude Medical Inc.		STJ
373.7	-52.3	125.67	2350	743	364	9.4	Industrials	"Stanley Black & Decker, Inc."		SWK
361.6	34.2	89.29	8256	2496	345.3	-19.3	Retailers	"Staples, Inc."		SPLS
342.2	-2.5	435.49	7379	2058	330.9	-4.2	Consumer products	Starbucks Corporation		SBUX
93.8	7.9	120.07	2119	172	91	-0.1	Consumer products	Starwood Hotels & Resorts Worldwide Inc.		HOT
205.5	44.5	264.15	14658	2703	212.3	0	Financials	State Street Corporation		STT
254.4	-56.3	90.5	1830	413	255.1	-10.1	Industrials	"Stericycle, Inc."		SRCL
360.9	-34.5	246.56	9694	3048	361.6	-3.9	Health care	Stryker Corporation		SYK
369	31.5	153.3	4069	1257	356.7	11.6	Financials	"SunTrust Banks, Inc."		STI
755.3	-24.2	167.13	-2354	1592	752.2	1.3	Information technology	Symantec Corporation		SYMC
512.6	0.8	200.17	10644	4652	506.4	-1.3	Consumer products	Sysco Corporation		SYY
405	-8.3	191.97	6318	2169	394.8	0	Financials	"T. Rowe Price Group, Inc."		TROW
386.6	-2.6	444.22	25481	8364	381.5	7.3	Consumer products	Target Corp.		TGT
692	-28.6	173.4	2585	1671	687.8	-4.1	Information technology	TE Connectivity Ltd.		TEL
11.4	-10.3	39.65	2199	22	12.8	1.5	Utilities	"TECO Energy, Inc."		TE
-0.4	-6.8	45.89	819	-126	0	0	Health care	Tenet Healthcare Corp.		THC
118.1	-11.1	87.98	2467	277	127.8	-8.9	Information technology	Teradata Corporation		TDC
219.6	-50.2	29.65	430	86	232	0.7	Information technology	Teradyne Inc.		TER
268.6	74.3	74.16	3238	776	277.3	0	Energy	Tesoro Corporation		TSO
293.6	-57.5	388.08	17631	4379	288.3	14.6	Information technology	Texas Instruments Inc.		TXN
345.4	-34.5	78.89	2978	888	343	0	Industrials	Textron Inc.		TXT
395.5	-61.6	93.89	11225	3886	398.3	0	Utilities	The AES Corporation		AES
178.2	68.5	239.25	10241	1595	178.7	0.3	Insurance	The Allstate Corporation		ALL
597.7	-0.9	319.42	13566	7025	595.3	0	Financials	The Bank of New York Mellon Corporation		BK
78.7	-6.1	655.97	27654	1939	80.5	0	Industrials	The Boeing Company		BA
478.6	-16.1	215.24	8778	3636	474	-4.2	Financials	The Charles Schwab Corporation		SCHW
295.6	77.5	230.62	16489	4169	290.5	5.4	Insurance	The Chubb Corporation		CB
466.8	-32.4	114.41	4304	1734	461.7	-5.3	Consumer products	The Clorox Company		CLX
158.3	44.2	1821.02	61845	9431	175.4	-0.1	Consumer products	The Coca-Cola Company		KO
467.7	-21.5	370.65	14006	5625	461.7	0	Materials	The Dow Chemical Company		DOW
367.5	-44.6	248.96	4773	1513	369.7	-21.5	Consumer products	The Estée Lauder Companies Inc.		
481.6	33.5	171.46	9472	3762	459.5	14.2	Retailers	"The Gap, Inc."		GPS
369.6	17.9	691.11	70037	22170	365.1	0.9	Financials	"The Goldman Sachs Group, Inc."		GS
759.4	25.8	113.82	-261	462	750.4	-12.1	Insurance	"The Hartford Financial Services Group, Inc."		HIG
447.1	-18.5	191.03	4291	1674	448.8	3.2	Consumer products	The Hershey Company		HSY
477.9	14.7	1057.99	34035	13766	465.9	-0.3	Retailers	"The Home Depot, Inc."		HD
201.4	24.5	55.26	2823	535	218.1	0	Consumer products	"The Interpublic Group of Companies, Inc."		IPG
400.1	-15.7	105.43	3041	1034	395.5	-4.8	Consumer products	The J. M. Smucker Company		SJM
395.9	17	166.05	8769	2986	391.2	-11.9	Retailers	The Kroger Co.		KR
419.6	-2	146.32	7190	2623	419.6	0	Financials	"The McGraw-Hill Companies, Inc."		MHP
248.4	39.9	250.85	13447	2904	249	-4.8	Materials	The Mosaic Company		MOS
405.7	-0.3	48.05	3345	1103	382	-0.1	Financials	"The Nasdaq OMX Group, Inc."		NDAQ
139.6	33.6	349.14	18316	2235	140.1	0	Financials	"The PNC Financial Services Group, Inc."		PNC
251.3	49.5	171.35	4577	1000	251.8	5.4	Materials	The Sherwin-Williams Company		SHW
378.8	36.9	346.03	10502	3487	380.2	-6.7	Retailers	"The TJX Companies, Inc."		TJX
202.5	65	320.24	23467	4253	209.4	-6.5	Insurance	"The Travelers Companies, Inc."		TRV
374.8	-25.2	1061.96	44715	14314	367.7	-4.9	Consumer products	The Walt Disney Company		DIS
368.6	-37.3	32.58	1876	598	362.6	-17.4	Consumer products	The Washington Post Company		WPO
228.3	-63.7	82.19	7181	1501	237	4.9	Information technology	The Western Union Company		WU
336	-14.2	280.16	6359	1752	319.2	6.1	Health care	"Thermo Fisher Scientific, Inc."		TMO
446.2	22.8	90.14	2999	1143	437.7	7.2	Retailers	Tiffany & Co.		TIF
764.8	-8.2	281.76	-1138	1135	753.3	5.5	Consumer products	Time Warner Cable Inc.		TWC
300.8	-5.6	545.45	14413	3684	293.9	-16.6	Consumer products	Time Warner Inc.		TWX
241.6	84.1	54.5	4243	892	241.8	0	Insurance	Torchmark Corp.		TMK
409.6	-52.5	45.1	2116	742	403.5	4.3	Information technology	"Total System Services, Inc."		TSS
378.2	26.9	69.57	1064	358	384	-15.9	Retailers	TripAdvisor Inc.		TRIP
745.3	-25.8	145.26	-1525	1814	750.1	2.6	Industrials	Tyco International Ltd.		TYC
411.6	-3.2	84.27	3225	1151	409.8	5.3	Consumer products	"Tyson Foods, Inc."		TSN
237.7	49.9	627.98	31572	6575	238.7	-2.6	Financials	U.S. Bancorp		USB
219.9	-23.3	653.95	25649	5103	227.3	2.9	Industrials	Union Pacific Corporation		UNP
414.9	-41.3	787.36	20559	7381	412.3	1.2	Industrials	"United Parcel Service, Inc."		UPS
196.2	45	24.86	3763	622	190.7	4.1	Materials	United States Steel Corp.		X
279.6	-47.7	860.5	39589	9552	279.9	-1.5	Industrials	United Technologies Corp.		UTX
402	-28.3	634.33	41701	14337	394.7	6.3	Health care	UnitedHealth Group Incorporated		UNH
327	84.3	70.75	6016	1702	325.3	0	Insurance	Unum Group		UNM
403.7	5.3	59.49	1765	618	402.9	-2.3	Retailers	Urban Outfitters Inc.		URBN
296.6	-18.2	188.62	5746	1513	300.6	-27.9	Consumer products	V.F. Corporation		VFC
95.5	24.8	233.39	14930	1225	94.5	0	Energy	Valero Energy Corporation		VLO
284.1	-35.8	77.14	2964	762	295.9	-1.3	Health care	"Varian Medical Systems, Inc."		VAR
144.7	-14.1	70.41	707	92	142.6	6.6	Information technology	"VeriSign, Inc."		VRSN
100.1	-7.7	1412.85	62772	5398	99.1	0	Telecom	Verizon Communications Inc.		VZ
389.6	-16.1	324.42	16022	5364	385.2	-6	Consumer products	"Viacom, Inc."		VIAB
525.1	-9.8	1099.44	16450	7342	513.3	0	Information technology	Visa Inc.		V
65.3	-3.5	164.18	2417	152	72.6	0	Financials	Vornado Realty Trust		VNO
701.6	-6.5	63.58	257	174	690.3	-7.9	Materials	Vulcan Materials Company		VMC
402.2	-53.9	156.43	5186	1803	399.1	-4.2	Industrials	"W.W. Grainger, Inc."		GWW
363.5	54.5	2544.73	130047	39832	351.8	0	Retailers	Wal-Mart Stores Inc.		WMT
389.7	45.7	451.57	20826	6925	379.2	7.3	Retailers	Walgreen Co.		WAG
345.1	-43.1	180.52	9473	2704	329.2	1.2	Industrials	"Waste Management, Inc."		WM
109.2	5.6	79.68	2517	243	111.3	0	Health care	Waters Corp.		WAT
393.1	-39.7	204.44	27961	9356	382.3	0	Health care	WellPoint Inc.		WLP
251.1	69.1	1952.38	104261	23401	255.3	13.9	Financials	Wells Fargo & Company		WFC
15.8	-4.9	120.89	5982	63	12.2	0	Information technology	Western Digital Corporation		WDC
768.1	14.2	171.33	-3283	971	755.1	10.5	Financials	Weyerhaeuser Co.		WY
217.2	40.6	89.95	2441	510	238.3	15.1	Consumer products	Whirlpool Corp.		WHR
428.5	-3.3	155.2	2478	928	429.6	3.2	Retailers	"Whole Foods Market, Inc."		WFM
170.5	60	253.92	6970	1087	179.6	-0.1	Energy	"Williams Companies, Inc."		WMB
149.6	-2.8	49.79	3582	509	163.6	0	Telecom	Windstream Corporation		WIN
57.5	-21.9	98.79	4047	217	61.9	-4.2	Utilities	Wisconsin Energy Corp.		WEC
417.2	4.8	34.05	107	39	418.1	-14	Energy	"WPX Energy, Inc."		WPX
359.4	-9.3	86.59	2102	640	353.2	-7.4	Consumer products	Wyndham Worldwide Corporation		WYN
47.3	8.3	123.8	2299	90	48	5.9	Consumer products	Wynn Resorts Ltd.		WYNN
6.8	-4.6	148.44	6765	51	8.9	7.7	Utilities	Xcel Energy Inc.		XEL
113.7	-17.4	105.74	6374	656	115.7	-2.9	Information technology	Xerox Corporation		XRX
85.9	-23	96.1	3149	231	83.9	-2.9	Information technology	Xilinx Inc.		XLNX
758.4	33.6	91.44	-376	662	750.4	12.5	Insurance	XL Group plc		XL
283.9	-60	51.86	1748	424	287.2	-12.2	Industrials	Xylem Inc.		XYL
332.7	-63.8	258.58	10170	2812	319	10.1	Information technology	Yahoo! Inc.		YHOO
249	10.1	302.9	9276	1955	241.8	-17.2	Consumer products	"Yum! Brands, Inc."		YUM
326.5	-18.3	124.21	6081	1652	309.4	3.2	Health care	"Zimmer Holdings, Inc."		ZMH
763.9	20.6	44.43	-541	390	754	18.1	Financials	Zions Bancorp.		ZION
